"","X","s","Cdens_a","Cdens_b","Cdens_d","Hdens_a","Hdens_b","Hdens_d","LCdens_a","LCdens_b","LCdens_d","LHdens_a","LHdens_b","LHdens_d","logLik","AIC"
"1",1,1,1,1.3,0.4,0.4,1.3,0.05,0.4,1.1,0.4,0,0.6,0.4,-14966.1659466946,29976.3318933892
"2",1,10,0.9,1.3,0.4,0.4,1.2,0.05,0.4,1.1,0.4,0,0.6,0.4,-14965.6145938184,29975.2291876368
"3",1,100,0.9,1.2,0.4,0.4,1.3,0.05,0.4,1,0.3,0,0.6,0.4,-14960.258791997,29964.5175839941
"4",1,1000,0.9,1.2,0.3,0.4,1.3,0.05,0.4,1,0.3,0.05,0.7,0.3,-14958.4290440706,29960.8580881413
"5",1,1001,1,1.3,0.4,0.4,1.2,0.05,0.4,1,0.3,0.05,0.7,0.3,-14965.1061921761,29974.2123843522
"6",1,1002,0.9,1.3,0.4,0.4,1.2,0.05,0.4,1,0.3,0.05,0.7,0.3,-14964.7903749486,29973.5807498973
"7",1,1003,1,1.2,0.4,0.4,1.2,0.05,0.4,1,0.3,0.05,0.7,0.3,-14962.4064269658,29968.8128539315
"8",1,1004,0.9,1.2,0.4,0.4,1.2,0.05,0.4,1,0.3,0.05,0.7,0.3,-14960.9440021501,29965.8880043003
"9",1,1005,1,1.3,0.3,0.4,1.2,0.05,0.4,1,0.3,0.05,0.7,0.3,-14961.6453913072,29967.2907826145
"10",1,1006,0.9,1.3,0.3,0.4,1.2,0.05,0.4,1,0.3,0.05,0.7,0.3,-14960.4159822386,29964.8319644772
"11",1,1007,1,1.2,0.3,0.4,1.2,0.05,0.4,1,0.3,0.05,0.7,0.3,-14960.6468002187,29965.2936004374
"12",1,1008,0.9,1.2,0.3,0.4,1.2,0.05,0.4,1,0.3,0.05,0.7,0.3,-14958.8174944797,29961.6349889594
"13",1,1009,1,1.3,0.4,0.4,1.3,0.2,0.4,1,0.3,0.05,0.7,0.3,-14965.4978089116,29974.9956178232
"14",1,101,1,1.3,0.3,0.4,1.3,0.05,0.4,1,0.3,0,0.6,0.4,-14960.4050986638,29964.8101973275
