"","X","V1","s","a","b","z","o","w","p","m","n","DenExp","DenExp2","DenExp3","DenExp4","logLik","AIC"
"1",1,1,1,0.8,1.1,0.5,1.1,0.1,0.8,0,1,0.2,0.1,0.2,0.2,-14998.0011684156,30040.0023368313
"2",2,1,10,0.9,1.1,0.5,1.2,0.1,0.8,0,1,0.2,0.1,0.2,0.2,-14997.166931506,30038.333863012
"3",3,1,100,0.9,1.2,0.5,1.1,0.3,0.8,0,1,0.2,0.3,0.2,0.2,-14992.8302101041,30029.6604202082
"4",4,1,1000,0.9,1.2,0.5,1.1,0.3,1,0.1,1,0.3,0.3,0.3,0.2,-14974.2141831855,29992.4283663709
"5",5,1,1001,0.8,1.1,0.5,1.2,0.3,1,0.1,1,0.2,0.3,0.3,0.2,-14979.8795879837,30003.7591759673
"6",6,1,1002,0.9,1.1,0.5,1.2,0.3,1,0.1,1,0.2,0.3,0.3,0.2,-14978.4183237174,30000.8366474347
"7",7,1,1003,0.8,1.2,0.5,1.2,0.3,1,0.1,1,0.2,0.3,0.3,0.2,-14979.548169753,30003.096339506
"8",8,1,1004,0.9,1.2,0.5,1.2,0.3,1,0.1,1,0.2,0.3,0.3,0.2,-14976.9437127949,29997.8874255897
"9",9,1,1005,0.8,1.1,0.5,1.2,0.3,1,0.1,1,0.3,0.3,0.3,0.2,-14974.7809758905,29993.5619517811
"10",10,1,1006,0.9,1.1,0.5,1.2,0.3,1,0.1,1,0.3,0.3,0.3,0.2,-14973.1051522669,29990.2103045338
"11",11,1,1007,0.8,1.2,0.5,1.2,0.3,1,0.1,1,0.3,0.3,0.3,0.2,-14976.4400213764,29996.8800427529
"12",12,1,1008,0.9,1.2,0.5,1.2,0.3,1,0.1,1,0.3,0.3,0.3,0.2,-14974.3485505978,29992.6971011957
"13",13,1,1009,0.8,1.1,0.7,1.1,0.3,1,0.1,1,0.2,0.3,0.3,0.2,-14986.3228835724,30016.6457671448
"14",14,1,101,0.8,1.1,0.5,1.1,0.3,0.8,0,1,0.3,0.3,0.2,0.2,-14990.0669503344,30024.1339006688
"15",15,1,1010,0.9,1.1,0.7,1.1,0.3,1,0.1,1,0.2,0.3,0.3,0.2,-14985.5055014766,30015.0110029531
"16",16,1,1011,0.8,1.2,0.7,1.1,0.3,1,0.1,1,0.2,0.3,0.3,0.2,-14985.8136369645,30015.627273929
